heart_rate,timestamp,date
46,04:34,2025-01-02
46,04:36,2025-01-02
46,04:38,2025-01-02
46,04:40,2025-01-02
46,04:42,2025-01-02
46,04:44,2025-01-02
47,04:46,2025-01-02
47,04:48,2025-01-02
46,04:50,2025-01-02
47,04:52,2025-01-02
47,04:54,2025-01-02
47,04:56,2025-01-02
47,04:58,2025-01-02
48,05:00,2025-01-02
49,05:02,2025-01-02
50,05:04,2025-01-02
50,05:06,2025-01-02
55,05:08,2025-01-02
44,05:10,2025-01-02
44,05:12,2025-01-02
45,05:14,2025-01-02
44,05:16,2025-01-02
47,05:18,2025-01-02
46,05:20,2025-01-02
47,05:22,2025-01-02
60,05:24,2025-01-02
48,05:26,2025-01-02
46,05:28,2025-01-02
50,05:30,2025-01-02
51,05:32,2025-01-02
45,05:34,2025-01-02
45,05:36,2025-01-02
44,05:38,2025-01-02
45,05:40,2025-01-02
47,05:42,2025-01-02
45,05:44,2025-01-02
44,05:46,2025-01-02
44,05:48,2025-01-02
44,05:50,2025-01-02
44,05:52,2025-01-02
45,05:54,2025-01-02
47,05:56,2025-01-02
42,05:58,2025-01-02
44,06:00,2025-01-02
42,06:02,2025-01-02
44,06:04,2025-01-02
44,06:06,2025-01-02
48,06:08,2025-01-02
45,06:10,2025-01-02
44,06:12,2025-01-02
44,06:14,2025-01-02
45,06:16,2025-01-02
46,06:18,2025-01-02
46,06:20,2025-01-02
44,06:22,2025-01-02
52,06:24,2025-01-02
46,06:26,2025-01-02
45,06:28,2025-01-02
43,06:30,2025-01-02
54,06:32,2025-01-02
47,06:34,2025-01-02
44,06:36,2025-01-02
44,06:38,2025-01-02
47,06:40,2025-01-02
47,06:42,2025-01-02
44,06:44,2025-01-02
45,06:46,2025-01-02
45,06:48,2025-01-02
46,06:50,2025-01-02
47,06:52,2025-01-02
44,06:54,2025-01-02
47,06:56,2025-01-02
50,06:58,2025-01-02
48,07:00,2025-01-02
48,07:02,2025-01-02
46,07:04,2025-01-02
45,07:06,2025-01-02
44,07:08,2025-01-02
